eclipse,ix
24230,912
13691,1637
8882,280
41218,1412
34357,1224
45391,1515
6165,1552
26376,981
41590,1415
27029,1757
23279,881
44790,1499
26488,987
18186,754
17593,735
16852,710
26797,1753
35928,1280
15161,632
36788,1306
38436,1336
7835,1571
16848,1678
38526,1339
32648,1188
21468,823
37413,1322
40601,1397
18573,763
36706,1303
3779,41
18933,774
8610,266
17225,733
7940,241
36842,1310
36842,1311
12560,497
4038,53
38747,1349
41132,1930
20374,782
10015,393
42777,1457
5245,101
37413,1323
34620,1235
4218,66
11404,452
36519,1295
16849,1679
24501,1733
9224,316
7784,233
9625,343
20858,793
6725,158
9001,1584
12897,506
7793,235
35746,1269
24156,1730
9034,288
16950,712
23124,1723
34856,1239
23389,890
13412,529
6685,153
45730,1526
11011,446
31410,1138
8147,254
15290,643
26286,979
14137,580
35912,1277
9378,1594
15375,1646
28618,1050
13642,546
28486,1040
44737,1498
40433,1385
9592,1597
13130,1634
17294,734
24799,923
12300,1624
25859,958
18076,1698
22274,849
11464,457
21403,818
25632,945
38092,1872
34934,1820
11917,477
44190,1485
44732,2010
6629,150
34656,1236
2419,25
35297,1251
30122,1095
15805,656
7589,221
32283,1803
37412,1321
14346,586
45856,1527
26206,975
15226,636
7485,203
28516,1043
18915,1705
32850,1201
21475,824
35382,1255
16997,714
13476,533
17955,749
32346,1179
25145,936
38925,1893
46017,2036
26861,999
44707,2007
23264,879
12661,1627
4369,79
14107,576
46029,2037
13533,539
41838,1423
26035,965
45217,1512
16654,1672
15128,630
7493,204
28619,1051
35858,1275
31274,1129
42924,1968
3773,40
28535,1046
16964,713
24537,916
28502,1775
7520,213
44246,1991
13503,535
12952,507
7083,183
44414,2001
28970,1063
8105,252
7173,187
46089,2040
14835,609
35916,1278
16796,709
10552,415
5736,120
38715,1886
28561,1047
4761,93
15494,647
8718,274
41742,1421
29131,1073
16941,1681
14335,1641
28896,1060
5258,102
24567,918
41123,1404
6676,152
13655,550
3780,42
42318,1436
8894,281
9998,391
1623,7
32121,1168
23228,876
11946,1616
7795,1570
7928,239
9023,1586
7743,230
31401,1798
11095,1610
24067,909
9191,304
29071,1066
32826,1198
34903,1242
44021,1984
17084,725
46523,1529
18565,762
44239,1486
28503,1776
41665,1939
38595,1343
15269,641
14137,579
46434,2048
40324,1902
29443,1081
39108,1359
28450,1034
6909,174
12030,1618
35614,1261
6470,143
26134,1741
24825,926
25603,1738
31313,1134
25871,959
43237,1468
45558,1517
28681,1055
11451,1611
9211,310
44680,2005
7712,229
7637,224
32706,1190
3859,1542
41521,1414
11729,469
14109,578
40844,1919
29645,1086
34413,1817
4426,82
26916,1756
26434,1745
12016,1617
18380,757
6975,177
42511,1446
11890,475
20926,797
4325,75
38896,1892
9768,1599
1740,14
42577,1961
14596,600
21111,802
9882,375
40996,1924
12300,1623
17935,748
9268,325
37148,1313
13600,542
14313,584
46434,2049
9857,368
13766,558
45496,2026
37332,1869
35735,1267
4889,97
7416,199
15268,640
35949,1283
27152,1764
42603,1450
43009,1973
30673,1788
8831,1579
40323,1901
11974,480
25831,953
13500,1635
8878,277
30051,1092
28641,1053
28668,1054
18667,767
15839,658
6557,147
7274,189
4028,52
30529,1100
40790,1917
28650,1781
29439,1080
7347,196
16262,680
43857,1479
37236,1317
24029,908
23505,893
31893,1156
1607,1532
9143,293
21212,810
10051,397
9740,354
14181,581
44690,1496
6595,148
36404,1856
15884,1652
11962,479
28287,1771
9419,1595
44999,1511
26011,964
40800,1918
10051,396
46350,2045
24828,927
28331,1027
9655,344
45487,1516
28525,1045
7108,184
32164,1802
45643,1522
4355,77
12039,486
12069,1620
11724,468
5024,98
19966,1715
14611,601
44240,1990
18589,1702
42321,1437
35688,1838
38242,1331
15449,646
35994,1848
40496,1389
16515,1664
3925,47
6004,123
8830,1578
2259,23
11975,481
28425,1773
32726,1808
4469,83
27074,1010
45681,2032
34738,1237
9994,390
20725,791
31277,1130
6859,172
11596,463
1640,8
6842,1556
38861,1353
23342,886
10019,394
41910,1947
40521,1392
10771,429
36095,1853
31174,1794
4415,81
42009,1951
23519,895
17070,720
31191,1795
41678,1420
32430,1182
33745,1211
21165,808
36746,1864
40228,1372
21344,815
2252,22
40325,1378
4322,74
46767,2057
30849,1113
8108,253
35374,1830
3292,39
31794,1150
40536,1395
28496,1041
21148,804
36101,1287
10456,400
18229,755
1653,11
17149,729
40521,1393
30626,1105
40530,1910
28507,1042
9205,309
31118,1125
27003,1004
46560,2051
1422,3
44857,1503
29703,1087
13856,568
44662,1493
26237,1744
39965,1366
7326,193
7130,1558
35938,1282
44178,1484
21750,838
27734,1022
20420,784
32811,1197
27122,1013
31420,1140
26189,1743
14021,573
9709,352
16609,1668
15981,666
31952,1160
27014,1006
23838,1728
31475,1145
38068,1328
13926,570
24257,915
32154,1170
40235,1373
