eclipse,ix
25287,1736
11551,462
12799,1629
45629,1520
8564,262
14198,1640
10529,410
10573,420
27176,1765
35384,1256
12100,1621
9086,292
44465,1491
41156,1409
44978,1508
33490,1206
45702,1524
31849,1151
39418,1362
37220,1316
16652,1671
18674,1704
29407,1079
33208,1811
7665,225
17015,715
10469,404
32594,1187
32694,1189
41631,1418
40088,1367
45156,2023
26178,971
38129,1329
23257,878
36614,1298
14196,582
4158,1547
3090,33
23300,883
15188,633
41113,1928
7327,194
6964,176
9990,388
44839,2017
18869,772
40877,1921
6422,140
17893,744
40489,1907
30072,1093
22372,1722
18620,1703
23102,858
23962,905
9952,386
16366,1661
26128,969
37194,1315
9222,315
42526,1448
43215,1977
28335,1772
18248,1700
43397,1978
21497,825
41588,1938
5315,104
42627,1452
36701,1301
40876,1920
6748,163
1731,13
42265,1955
12068,1619
32087,1166
32545,1805
41957,1949
10830,437
41149,1931
16531,697
25774,950
32506,1184
9273,326
33855,1214
41171,1410
25148,938
45376,2024
27248,1016
27006,1005
10471,405
27032,1007
44751,2011
46657,1530
11873,1615
9722,1598
26161,970
10522,409
9881,374
9219,313
11526,1613
24999,1734
11482,1612
14058,574
20925,796
18694,769
9770,355
28459,1037
36037,1851
26387,983
16516,694
29274,1077
33598,1208
25989,962
7597,222
30730,1789
21057,799
45079,2022
4042,1546
16622,699
40273,1375
7615,1568
34393,1225
7692,227
21682,1719
43809,1477
8877,276
30076,1094
23361,889
16491,690
35936,1281
23288,882
28452,1035
21066,800
32633,1806
9033,287
3914,46
26878,1001
21569,830
37162,1314
35632,1836
44947,1506
39556,1364
8915,1583
25149,939
36216,1291
16123,1655
1413,1
17057,719
16133,674
9204,1590
9228,318
8881,279
10029,395
6687,154
41374,1933
38325,1877
35881,1846
31297,1132
16528,696
7549,217
10517,408
8982,285
16603,1667
8967,284
31470,1143
34385,1816
10766,426
13318,519
14446,1642
5866,121
13662,553
29202,1075
38698,1347
41373,1413
14811,607
30697,1109
13656,551
29971,1089
28520,1044
42308,1956
40372,1905
35677,1264
7620,1569
10875,1608
29237,1076
42821,1964
30884,1121
35351,1253
13662,552
30851,1114
20600,1717
7628,223
25790,1739
13513,538
12992,509
10545,1603
12889,505
5231,99
14825,1644
10788,431
26841,998
35632,1835
40198,1370
16686,1674
30617,1104
27068,1009
31850,1152
36559,1858
35357,1829
16312,683
14485,595
6746,161
40265,1374
40525,1394
7911,236
5667,115
21900,1720
46828,2063
16955,1682
21498,827
6109,133
3126,34
10166,399
4282,73
3953,48
29077,1068
36423,1857
16693,705
25715,948
7521,1563
40584,1913
26637,990
9264,1592
38550,1340
7500,206
30742,1790
44773,2013
31685,1146
41507,1936
40386,1383
39907,1897
36053,1286
8256,257
25210,1735
23351,887
6764,164
41903,1946
43866,1480
7500,207
7301,191
13124,1633
34300,1223
6465,142
26121,1740
21525,828
38566,1884
35739,1268
8221,256
11526,1614
40802,1398
26113,968
38958,1356
9577,341
26989,1003
4406,80
44722,2009
11291,450
21498,826
40874,1399
26284,978
43796,1476
36390,1292
36727,1305
29538,1784
12015,484
35846,1272
7259,188
26040,966
28918,1061
4022,1545
30558,1785
46342,2044
4162,61
17102,1683
40146,1369
24555,917
6811,169
27130,1015
16862,1680
26660,1749
41983,1431
11598,465
8305,259
35213,1824
34475,1228
3822,43
28469,1774
43230,1467
21165,807
38745,1348
35264,1825
7500,205
19732,778
44632,1492
21151,805
46438,2050
41105,1927
37291,1319
36705,1302
28397,1029
39417,1361
6545,146
13729,557
43093,1975
17474,1692
6464,141
32797,1194
35016,1246
5231,100
8966,283
41197,1932
9041,289
21416,820
36405,1293
36637,1862
6513,1554
17206,1686
34977,1245
21235,813
36602,1860
36100,1854
32574,1186
36056,1852
16705,706
35180,1247
44684,1495
40488,1388
31748,1149
13020,1631
13592,541
37278,1318
41895,1944
18914,773
43459,1475
30797,1111
33691,1209
38887,1354
23745,1727
40346,1379
35645,1262
18861,771
34036,1218
15771,653
30391,1096
13613,543
19129,1709
42907,1967
43241,1471
36019,1850
16222,679
41811,1942
43240,1470
35616,1834
25798,952
42907,1966
7764,231
34426,1818
4231,68
15938,663
15033,622
35764,1270
11912,476
9445,1596
32884,1202
13511,537
2173,1537
29103,1783
30537,1101
35287,1826
35166,1823
29129,1072
40474,1387
11506,458
37284,1868
46035,2038
35158,1822
14963,615
30630,1787
1759,1533
21380,817
41931,1429
23418,891
8833,1580
8633,268
37477,1325
18029,1697
21528,829
15039,623
9893,1600
31278,1796
4216,64
33950,1814
18139,753
4341,76
21616,832
15953,665
34465,1819
34515,1232
28740,1056
1909,17
14940,613
28622,1052
4008,50
9701,351
7688,226
4781,94
23944,1729
15801,655
10861,441
14109,577
35707,1839
1911,18
20704,790
44720,1497
40202,1371
36834,1865
28963,1062
18456,759
44268,1487
8686,273
30472,1097
28248,1770
20556,787
16368,687
16161,676
14646,602
20620,788
4781,95
38916,1355
4009,51
7041,181
42635,1963
45668,1523
7286,1561
34272,1815
23507,894
9781,360
27046,1008
17080,723
4875,96
31423,1141
40441,1386
43449,1979
15067,624
7129,186
4217,65
33536,1207
24432,1732
9856,367
36944,1312
10725,1605
25832,954
45705,2033
37477,1324
9671,348
27109,1011
22959,854
7927,238
23116,865
10557,416
43828,1478
15128,629
4624,90
44991,1510
30868,1117
13673,556
11532,461
24568,919
24329,1731
1420,2
25773,949
40373,1382
13507,536
45814,2035
31874,1154
44006,1982
2476,27
9171,298
44818,2015
7068,182
42141,1952
31951,1159
18081,752
31443,1142
43170,1465
42072,1434
3999,1544
9459,339
16497,691
13648,548
6172,136
35730,1844
15755,1649
18753,770
13336,520
7526,1564
20869,794
21432,821
16340,685
14122,1639
38152,1330
21051,798
43151,1976
9208,1591
38627,1885
44006,1983
1414,1531
31875,1155
41054,1925
44899,1505
6818,170
13450,531
30927,1123
22133,843
30868,1116
46388,2046
24197,910
23358,888
34143,1221
2143,21
4040,54
3225,37
42996,1462
3858,45
1534,4
27109,1012
23330,1725
21188,809
26183,972
6938,175
38081,1871
46287,1528
46332,2043
39030,1358
35951,1284
25858,957
10508,407
35874,1276
40121,1368
31935,1157
26852,1754
45502,2027
46423,2047
24683,920
9657,345
44150,1987
9969,1601
12334,494
9858,369
7532,215
1937,1534
9663,347
5709,117
44226,1988
42019,1433
40415,1384
36612,1861
9267,324
40959,1401
25405,1737
21120,803
15123,628
44226,1989
9663,346
8340,261
39416,1896
44769,2012
14941,614
32329,1178
44133,1483
15095,625
42521,1447
16122,673
15994,667
15945,664
41603,1416
38645,1346
45729,1525
16134,675
45772,2034
30888,1122
10822,1607
43066,1974
2480,28
3211,36
36111,1288
13853,1638
44823,1501
43238,1469
6986,179
8640,270
9137,1589
24242,914
