,eclipse,obj_id,ra,dec,morphology
0,927,3715900927.0,249.9098130168929,41.11252171710656,U
1,1413,1953301413.0,311.5651133785091,-4.930670266514934,F
2,1420,1468701420.0,315.93539142183124,-7.379243973589912,F
3,1422,1479501422.0,343.35265409478205,-39.79307189933704,F
4,1534,1091701534.0,259.44507475705063,59.68960668309626,F
5,1573,1783001573.0,261.4212377307399,59.258315302410814,T
6,1580,1765801580.0,261.42136222738503,59.25839736447003,T
7,1623,1417401623.0,259.20421928249795,60.03953457344939,F
8,1640,1297001640.0,260.3072203515084,58.102305431983126,F
9,1646,1567201646.0,258.73760962627745,58.857582063976494,U
10,1647,1547101647.0,258.73769951548394,58.85752471371324,U
11,1653,2477601653.0,258.7376913690125,58.85759389455101,U
12,1654,1453101654.0,258.7374651712313,58.85759126455293,U
13,1731,2651201731.0,340.31688326227766,12.165311113014862,F
14,1740,1960501740.0,350.75503479732447,-0.0220140706893949,F
15,1756,2640901756.0,340.4323874042171,11.890360609774508,T
16,1805,1019201805.0,333.612835297428,-17.794195056753107,U
17,1909,1461401909.0,334.316052513,0.4369792553840775,F
18,1911,1222901911.0,347.30838064611885,0.314289289763399,F
19,1929,443101929.0,338.8780749019883,14.481721895251148,E
20,2101,239202101.0,4.7223041265839525,-11.209361529859391,F
21,2143,450502143.0,343.0351706572345,-39.97206343323212,F
22,2252,787002252.0,334.3209603792774,0.3690354203449825,F
23,2259,666202259.0,11.237135844643458,-43.39705893588376,F
24,2414,416302414.0,17.67202794835505,-36.82459927891627,F
25,2419,1004102419.0,21.128229224367598,-33.91765435740721,F
26,2433,822502433.0,11.45134359403153,-43.91964629322507,U
27,2476,400502476.0,30.405681586574484,-8.116733829992407,F
28,2480,186602480.0,29.39599598991568,13.890211662328852,F
29,2610,2038202610.0,338.9595584800695,-28.390592408859675,T
30,2639,1810902639.0,10.949518822087835,-44.85899630856422,U
31,2640,1145002640.0,10.94941253849418,-44.8589571974786,T
32,2648,1104902648.0,10.949357833911732,-44.85903957391859,T
33,3090,1043703090.0,41.6321716885473,-7.353883103746093,F
34,3126,2557303126.0,50.02201883065238,-7.04383064685579,F
35,3141,386603141.0,51.86588656527128,-6.96506006008199,U
36,3211,563803211.0,52.04192262944302,-28.617253093508246,F
37,3225,645003225.0,52.108183720631175,-28.210500383358166,F
38,3291,803503291.0,36.463668648281335,-4.892107588922077,U
39,3292,531603292.0,36.27630398507478,-4.479838817004319,F
40,3773,1246603773.0,119.85762359084532,46.64013564123167,U
41,3779,1219803779.0,122.24129127779403,45.91594230262675,F
42,3780,844103780.0,122.15875857284182,45.21653594731468,F
43,3822,1049003822.0,137.0352522674325,-0.7696054403524965,F
44,3822,395003822.0,136.6013816965605,-0.4081700868467556,F
45,3858,99999903858.0,135.96049,52.3571,F
46,3914,877703914.0,146.7468899001376,61.529046476535214,F
47,3925,770803925.0,162.05041088548646,64.72416541383973,F
48,3953,411303953.0,162.33936320951966,59.25277295994422,F
49,3987,811303987.0,192.60032229809372,66.92330688600318,E
50,4008,342504008.0,123.87210725456404,51.50024247137642,F
51,4009,1985304009.0,137.74191089745747,54.48358842897718,F
52,4028,99999904028.0,189.00277,62.49956,F
53,4038,883504038.0,190.02109701219797,62.38547844713013,F
54,4040,430404040.0,188.7098883212145,62.17016247432283,F
55,4067,2894104067.0,163.80839575665908,56.79623762099904,T
56,4071,1294204071.0,163.2473008729744,57.01372592233928,T
