eclipse,datetime_iso,datetime_decimal,ra,dec
1815.0,2003-08-30 15:40:44,2003.6620638316526,8.928183988487522,14.466872710196808
4906.0,2004-03-29 08:20:29,2004.2413868016026,164.62030132114987,-0.6491274120408513
6911.0,2004-08-13 17:23:01,2004.6167331383765,312.9225409072148,-0.0716326564704151
6913.0,2004-08-13 20:40:19,2004.6171074932643,312.89351510396165,-0.0970351539516727
6916.0,2004-08-14 01:36:14,2004.6176689623494,312.8622554467402,-0.1248956428094202
7267.0,2004-09-07 02:31:28,2004.683347531971,342.3426097402976,-7.887951618856972
7299.0,2004-09-09 07:08:07,2004.6893369255654,346.30285899470454,-9.372154630659889
7602.0,2004-09-30 01:11:17,2004.7460369230355,343.56240387466715,-0.9910205083630726
7958.0,2004-10-24 10:22:39,2004.8126568506818,34.311965047558175,-3.221636335339893
7959.0,2004-10-24 12:01:19,2004.8128440597488,34.2966543948923,-3.223546608341933
8235.0,2004-11-12 08:43:17,2004.8643808817483,25.430782197417354,19.76615060094701
8891.0,2004-12-27 07:12:27,2004.9871593552355,75.8312716647809,-4.316873741699155
12213.0,2005-08-11 20:22:17,2005.6105447106481,332.7205224893825,12.59264669199166
12940.0,2005-09-30 15:12:52,2005.74694231973,340.8926296504544,-29.19682137995028
13461.0,2005-11-05 06:31:16,2005.8445800670663,37.2216177061202,0.6573216687433883
16668.0,2006-06-12 22:29:08,2006.446402492231,236.78656254992163,-12.899078873469987
16674.0,2006-06-13 08:20:37,2006.447527841039,236.70660442548757,-12.915941570089036
16676.0,2006-06-13 11:37:48,2006.4479029995878,236.68406661854416,-12.920241559640044
18410.0,2006-10-10 05:22:42,2006.7732167362697,9.539527934552297,-2.0424869568437702
20401.0,2007-02-23 12:30:20,2007.1466330858384,137.69039293897703,3.775185894219085
21539.0,2007-05-12 11:41:25,2007.360238647736,185.76343686204592,18.154981338141827
21540.0,2007-05-12 13:24:24,2007.3604345825406,185.7601664261268,18.15013192020435
22856.0,2007-08-10 16:21:42,2007.6073472537735,322.8736788317763,1.4764662105636346
23334.0,2007-09-12 09:40:29,2007.6969948628553,356.3576383032601,-12.275853860280971
23636.0,2007-10-03 01:57:51,2007.7536489090246,3.4017292718615684,1.2065620886868769
23687.0,2007-10-06 13:50:57,2007.7632248222667,24.628475457637048,15.708635212430933
25221.0,2008-01-19 13:49:57,2008.0507550974942,113.9958193243724,29.91763724392236
25907.0,2008-03-06 13:09:18,2008.17909326917,186.33543400804157,7.192810881744435
28581.0,2008-09-05 16:21:01,2008.6794570303014,354.1933577578445,-8.304999951187895
28894.0,2008-09-27 02:41:30,2008.7380113778524,6.498868502257117,4.669931055791644
28942.0,2008-09-30 09:33:51,2008.7469904875975,18.96611875377029,5.612232381148851
28977.0,2008-10-02 19:18:02,2008.7535633916148,17.67649470057404,4.972674180653929
29136.0,2008-10-13 16:20:06,2008.78328042764,33.80351422649601,-0.6488844785954874
29172.0,2008-10-16 03:29:53,2008.7900157481722,21.23080326225382,-1.6132815697210436
29184.0,2008-10-16 23:13:08,2008.7922608339343,21.07054271845273,-1.6674547060937075
30926.0,2009-02-13 04:49:56,2009.1183598742707,159.19120027621398,6.464471075157291
31376.0,2009-03-16 01:19:57,2009.2028918694507,184.56589445088855,14.324305273448465
31388.0,2009-03-16 21:03:19,2009.2051433281013,165.57818506812424,7.831538820625842
31438.0,2009-03-20 07:14:02,2009.214524448091,197.83790162426425,-1.4824533104441957
31489.0,2009-03-23 19:02:46,2009.2240920533675,184.4115409649716,6.476505927685568
31574.0,2009-03-29 14:42:31,2009.24003526113,172.23801900958406,4.319040698074552
31951.0,2009-04-24 10:10:38,2009.3107508560058,183.8249134395122,0.0942494742314567
32362.0,2009-05-22 13:37:19,2009.3878564179033,221.52589272897228,-2.919694470823474
33949.0,2009-09-08 05:24:43,2009.6855493402777,334.2234263664984,1.3144666756185208
33978.0,2009-09-10 05:04:10,2009.690989694159,333.87876848386105,0.9376832094168376
34683.0,2009-10-28 11:30:57,2009.8232324326168,36.43566825950469,-4.3630880839339445
35516.0,2009-12-24 11:27:16,2009.9793898083144,120.08064763304913,14.541221236597886
36559.0,2010-03-05 21:14:41,2010.175027967878,142.81488220626994,12.499552315338889
36904.0,2010-03-29 13:07:32,2010.2398545470255,166.99693731250068,19.616486842658485
38911.0,2010-08-13 23:02:35,2010.6163291474822,349.2123133897042,11.71925531798918
38914.0,2010-08-14 03:58:19,2010.6168918060312,349.1792294229693,11.732945135763606
39518.0,2010-09-24 12:20:01,2010.7301751013129,352.0175283697106,-9.01307036903128
39575.0,2010-09-28 10:00:21,2010.7408682773655,17.0326186610402,0.8663001262640834
39576.0,2010-09-28 11:38:56,2010.741055840785,17.01413411470766,0.8614387916523724
40879.0,2010-12-26 15:48:45,2010.9853667552954,69.7034832201419,6.189643095792484
41099.0,2011-01-10 17:07:25,2011.0266123159247,143.82765058103308,60.05987249600336
41587.0,2011-02-13 03:00:57,2011.1181525239408,140.38670475997674,18.34543776379246
42091.0,2011-03-19 16:03:18,2011.2127916982179,147.31709136679743,3.157852418944976
42160.0,2011-03-24 09:26:28,2011.2257353182079,173.72726766741846,4.092101299745172
42758.0,2011-05-04 08:00:14,2011.3379000188672,191.56035695974296,-7.110082676060762
46631.0,2012-01-24 10:01:40,2012.0639831573505,150.14048616837323,-0.5004762697126249
